Test dimension, Number of Process, Number of thread, AvgTime
2D2, 2, 1, 0.0016968000000000005
10D, 2, 1, 0.011560540000000001
20D, 2, 1, 0.37763712000000005
2D, 2, 1, 0.019619360000000006
100D, 2, 1, 0.9443901199999998
100D2, 2, 1, 39.08219238
2D2, 2, 2, 0.0019325400000000002
10D, 2, 2, 0.008877240000000002
20D, 2, 2, 0.19182874000000005
2D, 2, 2, 0.014339079999999999
100D, 2, 2, 0.4828830799999999
100D2, 2, 2, 19.547421680000003
2D2, 2, 4, 0.0019109600000000002
10D, 2, 4, 0.00802046
20D, 2, 4, 0.12962376
2D, 2, 4, 0.013054779999999995
100D, 2, 4, 0.28813360000000005
100D2, 2, 4, 10.00960382
2D2, 2, 8, 0.007165700000000001
10D, 2, 8, 0.01621294
20D, 2, 8, 0.08273555999999999
2D, 2, 8, 0.019180459999999996
100D, 2, 8, 0.1631283
100D2, 2, 8, 5.054792479999999
2D2, 2, 16, 0.012349659999999998
10D, 2, 16, 0.030138059999999998
20D, 2, 16, 0.06925882
2D, 2, 16, 0.03564872
100D, 2, 16, 0.11678573195876293
100D, 2, 16, 0.11689202020202026
100D2, 2, 16, 2.880239134146341
2D2, 2, 32, 0.023794719999999988
10D, 2, 32, 0.04970368000000001
20D, 2, 32, 0.09201906000000001
2D, 2, 32, 0.06001240000000001
100D, 2, 32, 0.11586903999999999
100D2, 2, 32, 1.7135625199999998
2D2, 4, 1, 0.00237648
10D, 4, 1, 0.012269560000000004
20D, 4, 1, 0.20596509999999996
2D, 4, 1, 0.01874034
100D, 4, 1, 0.5010613200000001
100D2, 4, 1, 19.602909260000008
2D2, 4, 2, 0.0025869400000000002
10D, 4, 2, 0.0111276
20D, 4, 2, 0.11976336
2D, 4, 2, 0.01668466
100D, 4, 2, 0.26953984
100D2, 4, 2, 9.936974359999997
2D2, 4, 4, 0.00343066
10D, 4, 4, 0.011891919999999995
20D, 4, 4, 0.09605890000000002
2D, 4, 4, 0.01712774
100D, 4, 4, 0.18391775999999996
100D2, 4, 4, 5.67609044
2D2, 4, 8, 0.010035140000000003
10D, 4, 8, 0.024126599999999995
20D, 4, 8, 0.07612432
2D, 4, 8, 0.027319939999999997
100D, 4, 8, 0.14574181999999994
100D2, 4, 8, 3.7648391000000005
2D2, 4, 16, 0.01663419999999999
10D, 4, 16, 0.031874999999999994
20D, 4, 16, 0.07554507999999999
2D, 4, 16, 0.03771018
100D, 4, 16, 0.10011508000000001
100D2, 4, 16, 2.1011948400000002
2D2, 4, 32, 0.022059319999999993
10D, 4, 32, 0.050247379999999994
20D, 4, 32, 0.10862775999999996
2D, 4, 32, 0.06602944
100D, 4, 32, 0.11018353999999998
100D2, 4, 32, 1.43156258
